Date,Star
2024.10.25,5
2024.10.27,5
2024.07.20,5
2024.07.01,5
2024.05.12,5
2024.04.27,5
2024.04.26,5
2024.02.11,5
2024.01.05,5
2023.10.29,5
2023.09.19,5
2023.03.26,5
2023.01.29,5
2023.01.18,5
2022.12.01,4
2022.11.27,5
2022.11.17,5
2022.09.25,5
2022.09.01,5
2022.07.25,5
2022.06.02,5
2022.04.24,5
2022.04.21,5
2022.03.10,5
2022.02.13,5
2022.02.03,4
2021.11.11,5
2021.11.02,5
2021.11.03,5
2021.12.09,5
2024.12.31,5
2022.06.05,5
2022.03.01,5
2024.09.21,5
2022.10.12,5
2022.01.23,4
2022.04.06,5
2023.03.26,5
2024.05.17,5
2023.06.03,5
2022.10.19,4
2024.09.03,5
2023.04.12,5
2023.02.15,5
2022.04.26,5
2022.03.17,5
2021.12.08,5
2022.02.14,5
2022.11.13,3
2022.03.14,5
2021.11.02,5
2022.02.23,4
2024.09.16,5
2022.03.05,5
2022.03.18,5
2022.05.14,5
2022.02.11,5
2022.04.16,5
2022.03.16,5
2022.02.06,5
2021.12.11,5
2021.11.02,5
2022.11.13,5
2022.10.22,5
2024.03.13,5
2023.01.15,5
2022.04.27,5
2023.12.01,5
2021.11.22,5
2022.10.20,5
2021.11.02,5
2022.06.04,1
2021.12.13,1
2025.01.14,5
2023.06.01,1
2022.08.06,5
2021.11.20,4
2023.04.18,5
2023.07.05,5
2022.06.11,5
2021.11.02,5
2022.04.24,5
2022.03.25,5
2022.08.15,5
2021.11.07,5
2023.11.19,5
2024.01.14,5
2024.08.21,5
2023.07.10,4
2022.07.27,5
2022.03.12,2
2021.12.13,5
2021.12.07,5
2023.01.17,5
2022.05.21,4
2022.01.23,5
2022.01.17,5
2022.02.08,4
2023.12.04,5
2022.02.03,5
2022.05.18,5
2021.12.08,5
2021.12.25,5
2022.06.18,5
2021.11.11,1
2022.04.28,5
2022.04.07,5
2021.11.13,4
2022.10.17,5
2022.09.06,5
2022.03.12,5
2024.02.23,5
2022.01.23,5
2022.05.06,5
2022.05.03,5
2022.03.21,4
2021.11.03,4
2021.11.17,3
2024.11.03,5
2024.10.03,5
2024.10.22,5
2022.04.03,5
2024.04.04,4
2022.04.06,5
2022.03.19,5
2021.11.03,5
2024.08.23,5
2021.11.20,4
2022.05.31,5
2023.03.15,2
2022.12.24,5
2022.07.12,5
2022.11.10,5
2022.07.01,5
2022.10.04,5
2023.08.13,5
2021.12.16,5
2024.10.20,5
2022.01.15,5
2022.04.10,5
2022.12.13,4
2021.11.10,5
2024.04.18,5
2022.10.11,5
2022.06.10,5
2023.01.29,5
2023.08.27,3
2021.11.03,4
2024.02.09,5
2022.08.27,5
2024.04.29,5
2022.03.06,5
2024.03.23,5
2022.08.11,5
2022.01.25,5
2022.06.12,5
2024.02.13,5
2022.01.20,5
2022.02.12,5
2023.07.06,5
2022.12.24,5
2022.03.26,5
2024.06.07,5
2022.03.16,5
2022.01.14,5
2021.12.10,5
2022.01.08,5
2022.01.27,5
2024.01.15,5
2022.06.25,5
2024.07.21,5
2023.07.15,5
2022.03.03,4
2023.01.28,1
2024.06.06,5
2021.12.16,5
2022.02.22,5
2021.11.21,5
2022.10.27,5
2021.11.02,5
2023.09.15,5
2022.08.28,5
2022.05.06,1
2023.02.18,4
2022.07.18,5
2024.11.06,5
2022.03.15,5
